iter	Passed	Remaining
0	6	6191
1	11	5726
2	16	5403
3	21	5369
4	26	5315
5	32	5301
6	36	5232
7	42	5224
8	47	5232
9	53	5294
10	58	5283
11	63	5251
12	68	5203
13	73	5155
14	77	5100
15	81	5040
16	86	5025
17	91	4971
18	95	4928
19	100	4905
20	104	4850
21	108	4827
22	113	4813
23	117	4775
24	121	4757
25	126	4750
26	130	4716
27	134	4684
28	139	4672
29	143	4654
30	148	4629
31	152	4624
32	157	4604
33	161	4592
34	166	4588
35	170	4562
36	175	4561
37	179	4555
38	183	4532
39	188	4523
40	193	4517
41	197	4500
42	202	4499
43	206	4488
44	210	4471
45	215	4462
46	219	4455
47	223	4439
48	228	4433
49	233	4428
50	237	4410
51	241	4401
52	245	4390
53	250	4380
54	255	4384
55	259	4377
56	263	4363
57	268	4363
58	273	4356
59	278	4357
60	283	4356
61	287	4350
62	291	4338
63	296	4335
64	301	4332
65	305	4323
66	309	4314
67	314	4311
68	318	4298
69	323	4292
70	327	4290
71	332	4280
72	336	4274
73	341	4273
74	346	4267
75	350	4256
76	354	4254
77	359	4243
78	363	4238
79	368	4235
80	372	4225
81	377	4223
82	382	4221
83	386	4213
84	390	4205
85	395	4205
86	400	4200
87	404	4191
88	409	4187
89	413	4181
90	417	4172
91	422	4167
92	426	4160
93	430	4151
94	435	4147
95	439	4142
96	444	4133
97	448	4132
98	453	4125
99	457	4118
100	462	4116
101	466	4107
102	470	4100
103	476	4101
104	480	4095
105	484	4087
106	489	4083
107	493	4075
108	497	4067
109	502	4063
110	506	4054
111	510	4048
112	514	4042
113	519	4035
114	524	4034
115	528	4029
116	533	4022
117	537	4015
118	541	4011
119	545	4003
120	550	3998
121	554	3992
122	558	3984
123	563	3981
124	567	3974
125	572	3969
126	577	3968
127	581	3964
128	586	3956
129	590	3954
130	595	3950
131	599	3942
132	603	3936
133	608	3930
134	612	3923
135	617	3920
136	621	3914
137	625	3906
138	630	3903
139	634	3896
140	638	3890
141	643	3886
142	647	3879
143	651	3875
144	656	3871
145	660	3864
146	665	3860
147	670	3857
148	674	3851
149	678	3847
150	683	3844
151	687	3837
152	692	3833
153	697	3829
154	701	3823
155	705	3818
156	710	3815
157	715	3810
158	719	3804
159	723	3800
160	728	3795
161	733	3791
162	737	3788
163	742	3783
164	746	3777
165	751	3774
166	755	3768
167	759	3763
168	764	3760
169	769	3756
170	773	3749
171	778	3745
172	782	3740
173	786	3733
174	791	3729
175	795	3722
176	799	3717
177	804	3712
178	808	3706
179	812	3701
180	817	3697
181	821	3690
182	825	3686
183	830	3683
184	834	3676
185	839	3672
186	843	3667
187	847	3660
188	852	3656
189	856	3652
190	860	3646
191	865	3642
192	870	3638
193	874	3632
194	879	3629
195	883	3623
196	887	3618
197	892	3613
198	896	3607
199	900	3602
200	905	3597
201	909	3591
202	913	3587
203	918	3583
204	922	3578
205	927	3574
206	932	3571
207	936	3565
208	940	3560
209	945	3558
210	949	3551
211	954	3546
212	958	3542
213	962	3536
214	967	3534
215	973	3532
216	978	3529
217	982	3524
218	987	3520
219	991	3516
220	996	3511
221	1000	3505
222	1004	3500
223	1008	3494
224	1013	3490
225	1017	3485
226	1021	3479
227	1026	3475
228	1030	3470
229	1034	3464
230	1039	3460
231	1043	3455
232	1048	3450
233	1052	3446
234	1057	3441
235	1061	3437
236	1066	3433
237	1070	3428
238	1079	3435
239	1086	3442
240	1095	3450
241	1102	3454
242	1110	3458
243	1117	3461
244	1125	3467
245	1129	3462
246	1135	3461
247	1142	3463
248	1146	3458
249	1150	3452
250	1155	3446
251	1159	3441
252	1163	3436
253	1168	3432
254	1173	3428
255	1177	3423
256	1182	3418
257	1187	3414
258	1191	3408
259	1196	3404
260	1200	3400
261	1205	3394
262	1209	3389
263	1214	3385
264	1218	3379
265	1223	3374
266	1227	3369
267	1231	3364
268	1236	3359
269	1241	3356
270	1245	3350
271	1250	3345
272	1255	3342
273	1259	3338
274	1263	3332
275	1268	3327
276	1272	3321
277	1276	3316
278	1281	3311
279	1285	3306
280	1290	3301
281	1294	3296
282	1299	3291
283	1303	3286
284	1308	3282
285	1312	3276
286	1316	3271
287	1321	3267
288	1325	3261
289	1330	3257
290	1335	3252
291	1339	3246
292	1343	3242
293	1348	3238
294	1352	3232
295	1357	3228
296	1362	3224
297	1366	3218
298	1370	3212
299	1375	3209
300	1380	3206
301	1384	3200
302	1389	3196
303	1393	3191
304	1398	3185
305	1402	3181
306	1424	3214
307	1428	3209
308	1432	3203
309	1437	3200
310	1442	3195
311	1446	3190
312	1451	3185
313	1455	3180
314	1460	3175
315	1465	3171
316	1470	3168
317	1475	3163
318	1479	3158
319	1484	3155
320	1489	3150
321	1493	3145
322	1498	3140
323	1503	3136
324	1507	3130
325	1511	3125
326	1516	3120
327	1520	3115
328	1525	3111
329	1530	3106
330	1534	3100
331	1538	3096
332	1543	3092
333	1547	3086
334	1552	3082
335	1557	3078
336	1562	3073
337	1566	3067
338	1570	3062
339	1575	3057
340	1579	3053
341	1584	3048
342	1588	3042
343	1593	3038
344	1597	3033
345	1602	3028
346	1606	3023
347	1611	3018
348	1615	3013
349	1619	3008
350	1624	3003
351	1628	2998
352	1632	2992
353	1637	2988
354	1641	2982
355	1646	2977
356	1650	2973
357	1655	2968
358	1659	2962
359	1664	2958
360	1668	2953
361	1672	2948
362	1677	2943
363	1681	2938
364	1686	2934
365	1691	2930
366	1695	2924
367	1700	2919
368	1704	2914
369	1708	2909
370	1713	2905
371	1717	2900
372	1722	2894
373	1726	2890
374	1731	2885
375	1735	2880
376	1740	2875
377	1744	2870
378	1748	2865
379	1753	2861
380	1758	2857
381	1762	2851
382	1767	2846
383	1771	2842
384	1775	2836
385	1780	2832
386	1785	2827
387	1789	2822
388	1794	2818
389	1798	2813
390	1802	2808
391	1807	2803
392	1812	2799
393	1816	2793
394	1820	2789
395	1825	2784
396	1829	2778
397	1833	2773
398	1837	2768
399	1841	2762
400	1846	2758
401	1850	2753
402	1855	2748
403	1860	2744
404	1864	2738
405	1868	2733
406	1873	2729
407	1877	2724
408	1882	2719
409	1886	2715
410	1890	2709
411	1895	2704
412	1899	2700
413	1903	2694
414	1909	2691
415	1913	2686
416	1918	2681
417	1922	2676
418	1927	2672
419	1931	2667
420	1936	2662
421	1941	2658
422	1945	2653
423	1949	2648
424	1954	2644
425	1958	2638
426	1962	2633
427	1967	2629
428	1972	2625
429	1976	2620
430	1981	2616
431	1986	2612
432	1990	2607
433	1995	2602
434	2000	2597
435	2004	2592
436	2008	2587
437	2013	2582
438	2017	2578
439	2021	2573
440	2026	2568
441	2031	2564
442	2035	2559
443	2041	2555
444	2045	2551
445	2050	2546
446	2055	2542
447	2059	2537
448	2064	2533
449	2069	2528
450	2073	2524
451	2078	2519
452	2082	2514
453	2087	2510
454	2092	2505
455	2096	2500
456	2101	2496
457	2105	2491
458	2109	2486
459	2114	2482
460	2118	2477
461	2123	2472
462	2128	2468
463	2132	2463
464	2136	2458
465	2141	2453
466	2145	2448
467	2150	2444
468	2154	2439
469	2158	2434
470	2163	2429
471	2168	2425
472	2172	2420
473	2176	2415
474	2181	2411
475	2185	2405
476	2189	2401
477	2194	2396
478	2198	2391
479	2203	2386
480	2207	2382
481	2212	2377
482	2216	2372
483	2221	2368
484	2225	2363
485	2230	2358
486	2234	2354
487	2239	2349
488	2243	2344
489	2248	2339
490	2252	2335
491	2257	2330
492	2261	2325
493	2265	2320
494	2270	2316
495	2275	2312
496	2279	2307
497	2284	2302
498	2289	2298
499	2293	2293
500	2298	2289
501	2303	2285
502	2307	2279
503	2312	2275
504	2316	2270
505	2320	2265
506	2325	2261
507	2330	2257
508	2334	2252
509	2338	2247
510	2343	2242
511	2347	2237
512	2352	2232
513	2356	2228
514	2360	2223
